Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","004","Afghanistan","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","0.01","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","2260.44","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","0.02","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","024","Angola","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","0.32","A","Official figure",""
"TCL","Crops and livestock products","024","Angola","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","27.36","A","Official figure",""
"TCL","Crops and livestock products","028","Antigua and Barbuda","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","0.56","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","466.84","A","Official figure",""
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","1364.56","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","513.71","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","66.29","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","26108.99","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","3.14","A","Official figure",""
"TCL","Crops and livestock products","044","Bahamas","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","0.25","A","Official figure",""
"TCL","Crops and livestock products","044","Bahamas","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","0","A","Official figure",""
"TCL","Crops and livestock products","048","Bahrain","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","0.57","A","Official figure",""
"TCL","Crops and livestock products","048","Bahrain","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","0.02","A","Official figure",""
"TCL","Crops and livestock products","050","Bangladesh","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","0.5","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","050","Bangladesh","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","0.02","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","052","Barbados","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","3.11","A","Official figure",""
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","5976.51","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","112","Belarus","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","328898.18","A","Official figure",""
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","223460.18","A","Official figure",""
"TCL","Crops and livestock products","084","Belize","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","152.28","A","Official figure",""
"TCL","Crops and livestock products","204","Benin","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","31.68","A","Official figure",""
"TCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","122.36","A","Official figure",""
"TCL","Crops and livestock products","070","Bosnia and Herzegovina","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","328.12","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","11425.17","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","689.57","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","0.01","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","21306.78","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","37.34","A","Official figure",""
"TCL","Crops and livestock products","108","Burundi","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","0.26","A","Official figure",""
"TCL","Crops and livestock products","116","Cambodia","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","887.2","A","Official figure",""
"TCL","Crops and livestock products","116","Cambodia","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","2","A","Official figure",""
"TCL","Crops and livestock products","120","Cameroon","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","56.5","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","120","Cameroon","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","236647.95","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","124","Canada","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","134899.92","I","Imputed value",""
"TCL","Crops and livestock products","124","Canada","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","2446.16","A","Official figure",""
"TCL","Crops and livestock products","140","Central African Republic","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","56.5","A","Official figure",""
"TCL","Crops and livestock products","152","Chile","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","12.55","A","Official figure",""
"TCL","Crops and livestock products","159","China","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","9689.19","A","Official figure",""
"TCL","Crops and livestock products","159","China","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","3.97","A","Official figure",""
"TCL","Crops and livestock products","344","China, Hong Kong SAR","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","53.31","A","Official figure",""
"TCL","Crops and livestock products","446","China, Macao SAR","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","0.54","A","Official figure",""
"TCL","Crops and livestock products","156","China, mainland","5610","Import Quantity","01640","Cocoa beans","2022","2022","t","9614.45","I","Imputed value",""
"TCL","Crops and livestock products","156","China, mainland","5910","Export Quantity","01640","Cocoa beans","2022","2022","t","3.97","A","Official figure",""
