Caption
* Percentage change/share/price not interpretable or not calculable
** Percentage change > 999.9 %
*** Provisional data
1 = Since 2002: including electricity, returned goods and goods for processing without change of ownership
2 = Since 2012 (imports): country of origin instead of country of production
3 = Since 2012: including gold and silver bullions as well as coins  in the general total (total 2)
4 = Since 2013: electricity flows calculated according to a new method

Total trade Total 2
Period [1,2,3,4]	Commercial partner	Import			Export			
		Quantity (kg)	Value (CHF)	Value +/- %	Quantity (kg)	Value (CHF)	Value +/- %	
2022	                  Afghanistan	82,320	1,790,394	-53.1	685,538	7,359,753	41.6	
	                  Albania	2,284,875	30,988,662	21.6	12,948,751	66,104,906	1.3	
	                  Algeria	158,508,109	112,603,035	278.8	5,117,493	175,561,663	-11.1	
	                  Am. Oceania			*	2,040	416,719	**	
	                  Am. Samoa			*	30	30,256	*	
	                  Amer. Virgin	103,084	831,229	-74.8	1,655	9,935,155	31.0	
	                  Andorra	73,569	670,670	-14.8	63,567	3,913,339	33.0	
	                  Angola	20,424,685	17,684,388	**	1,264,486	8,938,577	46.3	
	                  Anguilla			*	5	5,687	-98.4	
	                  Antigua	5,847	154,013	166.4	17,777	5,826,384	353.1	
	                  Argentina	17,105,748	1,093,108,618	20.3	11,133,323	735,178,956	17.4	
	                  Armenia	241,060	9,771,576	-19.1	904,081	60,671,451	169.2	
	                  Aruba	0	127,674	-81.1	57,254	16,467,439	27.1	
	                  Australia	16,764,478	3,191,049,275	111.2	49,046,692	2,583,899,098	16.5	
	                  Austria	2,515,317,457	11,152,996,873	20.0	1,125,399,875	10,314,923,948	10.0	
	                  Azerbaijan	174,414,769	337,931,180	73.4	413,151	82,417,163	24.7	
	                  Bahamas	11,917	1,545,917	282.6	38,624	31,583,898	66.5	
	                  Bahrain	16,643,715	62,592,792	20.8	4,347,674	271,405,114	8.8	
	                  Bangladesh	28,721,352	1,070,267,612	15.2	3,135,931	126,089,249	-0.2	
	                  Barbados	38,577	522,995	13.9	9,250	6,770,276	49.1	
	                  Belarus	4,406,989	23,345,781	-52.9	3,388,436	71,385,836	-34.4	
	                  Belgium	922,408,327	4,559,533,944	12.9	334,960,603	4,804,225,648	3.9	
	                  Belize	9,245	282,083	8.2	2,571	1,484,334	-51.6	
	                  Benin	292,672	503,320	-44.9	4,071,207	5,113,107	-35.7	
	                  Bermuda	3,012	31,203	-99.2	57,902	3,839,000	14.8	
	                  Bhutan	1,193	27,803	-29.6	5,330	364,768	-44.9	
	                  BIOT			*	12	3,930	-80.4	
	                  Bolivia	1,436,167	7,241,168	30.4	440,759	13,403,033	-40.4	
	                  Bonaire			-100.0	838	447,348	-60.0	
	                  Bosnia-Herzeg.	31,871,056	163,653,489	10.1	28,650,675	125,620,154	2.0	
	                  Botswana	705	12,780,054	**	289,472	40,412,014	-37.3	
	                  Brazil	195,994,740	1,767,123,606	10.3	64,860,863	2,406,823,019	11.1	
	                  Brit. Virgin	11,491	18,279,106	664.1	10,217	125,749,644	63.4	
	                  Brunei	3,549	81,440	88.0	99,036	1,491,274	29.3	
	                  Bulgaria	46,442,677	475,964,167	17.4	44,610,883	544,748,921	19.9	
	                  Burkina Faso	396,605	2,888,483,717	-6.5	1,562,557	6,962,369	110.8	
	                  Burundi	5,497	47,516	-17.2	26,417	546,940	18.6	
	                  Cabo Verde			-100.0	467,039	1,292,067	-2.9	
	                  Cambodia	4,710,542	304,867,691	13.1	112,051	10,217,085	-91.0	
	                  Cameroon	898,149	5,327,845	87.8	2,876,094	12,109,925	-2.6	
	                  Canada	65,514,478	7,431,721,343	134.0	122,827,366	4,128,284,823	8.2	
	                  Canary Islands	50,506	403,266	76.9	27,564	516,224	-80.6	
	                  Cayman Islands	454	950,211	100.0	35,256	86,402,802	641.4	
	                  Central Africa	45,453	306,579	65.1	11,288	543,332	90.0	
	                  Ceuta			-100.0	227	183,148	67.9	
	                  Chad	682	5,980	-79.6	186,557	2,193,670	5.6	
	                  Chile	10,675,252	870,349,284	1.9	10,593,833	353,683,336	9.3	
	                  China	1,094,171,259	20,582,735,517	13.8	215,000,154	42,115,180,333	39.4	
	                  Cocos (Keeling)			*	11	3,267	-88.1	
	                  Colombia	75,358,904	436,663,487	4.7	8,653,869	566,411,814	1.1	
	                  Comoros	4,964	354,286	-44.4	13,906	15,196	-90.7	
	                  Congo, Rep. of	772,766	5,612,134	49.8	628,739	4,516,610	45.7	
	                  Congo (RDC)	336,087	2,301,548	62.1	2,349,720	20,884,514	64.1	
	                  Cook Islands			*	3,359	139,199	981.6	
	                  Costa Rica	37,060,064	142,294,625	17.0	1,309,334	227,257,574	17.3	
	                  Côte d'Ivoire	101,883,082	1,374,634,005	67.3	2,637,342	35,659,916	-23.9	
	                  Croatia	51,837,501	331,567,191	8.5	49,032,722	317,608,989	-11.3	
	                  Cuba	716,456	39,579,453	-6.8	113,414	7,174,187	-16.7	
	                  Curaçao	0	1,000,510	956.8	16,397	11,111,048	-10.7	
	                  Cyprus	955,668	10,620,887	44.8	1,444,664	117,890,300	-0.1	
	                  Czechia	443,168,717	3,024,532,150	11.8	190,040,347	2,092,471,123	1.2	
	                  Denmark	74,190,245	1,005,722,419	5.8	49,347,260	1,180,887,983	4.9	
	                  Djibouti	707,027	384,497	**	90,865	2,687,346	-18.5	
	                  Dominica			*	80,036	583,781	0.1	
	                  Dominican Rep.	12,273,601	1,034,405,292	21.0	2,860,242	51,861,322	14.1	
	                  East Timor	7,200	12,447	*	171	22,647	-92.3	
	                  Ecuador	54,742,467	510,140,419	51.9	1,368,240	115,268,647	17.6	
	                  Egypt	25,538,256	83,927,641	8.3	14,196,071	1,370,823,311	12.0	
	                  El Salvador	186,188	4,408,923	51.9	573,058	13,398,121	-14.4	
	                  Emirates, Arab	34,044,594	8,848,825,640	10.6	109,448,341	5,770,749,946	36.4	
	                  Eritrea	51,358	179,609	62.7	166,446	258,129	-39.3	
	                  Estonia	15,951,820	127,403,031	31.2	6,740,560	278,735,430	-5.8	
	                  Eswatini	3,304,036	4,871,059	4.4	117,236	2,477,988	-17.5	
	                  Ethiopia	11,463,021	75,111,006	28.6	8,507,034	16,403,104	-58.6	
	                  Faeroe Islands	570,810	8,370,591	27.0	85,861	1,103,512	18.1	
	                  Falkland			-100.0	47,997	288,087	254.0	
	                  Fiji	25,247	85,960	-26.7	6,040	509,634	18.0	
	                  Finland	150,392,200	1,562,741,709	6.5	33,145,355	681,517,492	9.2	
	                  Fr. Southern T.			*	14,992	332,833	**	
	                  France	9,769,474,390	22,253,001,079	25.3	5,214,007,879	20,006,459,988	13.9	
	                  Gabon	82,762	370,988	109.1	125,658	2,935,164	105.3	
	                  Gambia	828	34,855	253.9	2,326,373	2,090,980	-7.5	
	                  Georgia	637,553	82,682,393	16.9	4,401,069	86,681,816	59.8	
	                  Germany	18,869,788,193	66,738,849,015	16.8	5,778,329,561	51,029,857,948	0.8	
	                  Ghana	31,723,415	3,217,315,728	43.6	1,708,508	27,954,657	-8.9	
	                  Gibraltar	2,441	790,553	-49.2	3,697	5,834,830	-14.1	
	                  Greece	38,393,745	243,014,594	4.0	24,137,855	737,251,142	1.8	
	                  Greenland	92,162	1,085,174	-1.2	2,811	1,082,388	**	
	                  Grenada	48,779	369,985	48.0	1,222	137,492	-18.1	
	                  Guadeloupe	35,090	588,268	211.7	301,226	9,654,694	63.4	
	                  Guam	0	10,239	-90.7	3,700	8,762,090	16.8	
	                  Guatemala	15,347,871	78,343,262	42.8	1,990,438	34,555,621	-24.4	
	                  Guiana, French	12,481	4,632,500	-18.8	370,412	52,685,175	145.1	
	                  Guinea	310,606	331,039,571	50.6	1,813,769	3,277,484	-38.0	
	                  Guinea, Equat.			*	58,861	3,180,159	**	
	                  Guinea-Bissau			*	61,191	73,620	-55.6	
	                  Guyana	165,094	2,361,606	-64.6	36,515	1,860,855	21.8	
	                  Haiti	26,294	5,278,487	97.6	6,251	1,221,820	-92.7	
	                  Heard			*			-100.0	
	                  Holy See	350	494,950	*	10,443	9,881,436	118.2	
	                  Honduras	9,561,656	52,900,391	32.3	2,165,176	20,941,741	14.5	
	                  Hong Kong	5,823,102	3,909,860,538	-7.9	14,536,021	7,065,627,975	-24.2	
	                  Hungary	195,958,461	1,666,193,610	9.9	84,684,546	1,158,919,042	-0.7	
	                  Iceland	4,624,751	51,086,559	47.0	5,893,442	74,644,348	-2.8	
	                  India	251,634,055	2,737,360,265	28.3	74,032,903	14,301,278,330	-50.2	
	                  Indonesia	27,422,980	2,078,571,503	33.6	11,885,485	410,169,242	24.5	
	                  Iran	1,952,305	17,016,960	11.2	3,084,589	146,015,198	-6.1	
	                  Iraq	1,559	121,379	-75.7	3,128,539	162,943,817	-16.9	
	                  Ireland	25,927,425	4,021,859,363	4.4	34,861,727	1,338,410,356	12.2	
	                  Israel	17,142,977	623,541,736	23.6	23,402,739	1,236,206,806	13.4	
	                  Italy	5,636,436,650	23,704,508,593	7.8	2,372,905,457	24,014,645,545	30.0	
	                  Jamaica	173,541	3,470,701	-23.9	33,268	15,047,055	27.5	
	                  Japan	109,003,138	5,720,324,619	16.9	118,447,877	9,378,142,356	21.5	
	                  Jordan	291,905	13,883,254	-29.1	4,684,004	1,075,160,440	57.7	
	                  Kazakhstan	438,282,630	2,980,324,629	**	6,290,127	356,564,330	39.3	
	                  Kenya	10,847,780	83,225,490	-12.1	909,786	99,147,053	0.4	
	                  Kiribati			*	69	40,227	221.8	
	                  Korea (South)	56,330,487	2,219,994,504	7.9	42,477,455	3,606,941,899	8.3	
	                  Kosovo	18,735,562	64,708,005	24.5	26,985,986	70,945,437	14.2	
	                  Kuwait	510,385	12,685,689	-5.5	17,587,148	524,979,105	9.6	
	                  Kyrgyzstan	43,269	90,337,396	-91.8	476,958	13,194,958	47.2	
	                  Laos	340,205	94,792,372	-25.0	43,986	5,449,207	-5.9	
	                  Latvia	14,509,884	81,868,833	15.4	11,366,228	161,541,325	9.6	
	                  Lebanon	677,561	153,648,152	-63.4	8,242,460	655,118,004	88.2	
	                  Lesotho	9,446	2,669,751	-90.5	5,701	99,968	1.7	
	                  Liberia	11,690	519,073,017	65.8	129,084	1,461,223	1.3	
	                  Libya	154,343,612	112,150,205	-59.4	22,874,297	147,346,513	-25.6	
	                  Lithuania	46,642,587	293,840,559	11.4	14,487,922	162,896,901	3.1	
	                  Luxembourg	95,985,870	264,965,546	-1.9	55,403,560	352,543,110	-8.1	
	                  Macau	28,962	53,783,122	425.6	25,517	81,551,334	-11.3	
	                  Madagascar	2,904,019	40,316,913	2.7	621,489	8,763,869	56.7	
	                  Malawi	1,878,789	4,823,282	86.5	9,196	572,079	-49.3	
	                  Malaysia	25,986,165	902,602,295	10.1	12,977,320	1,375,727,754	2.0	
	                  Maldives	919,200	7,587,390	-24.2	239,617	6,291,557	-30.5	
	                  Mali	153,619	1,204,945,868	-2.8	610,955	10,075,402	23.3	
	                  Malta	202,652	31,419,916	-5.5	9,095,731	158,589,183	9.8	
	                  Mariana, North.			*	53	2,492	-98.7	
	                  Marshall Isl.	5	200,285	*	11,621,100	33,441,247	**	
	                  Martinique	13,359	479,815	52.0	184,308	3,248,913	87.6	
	                  Mauritania	223,167	280,812,285	**	208,259	3,546,940	-33.4	
	                  Mauritius	745,020	39,794,537	-0.2	527,879	32,263,374	0.1	
	                  Mayotte			*	39,509	364,433	1.4	
	                  Mexico	58,689,705	2,212,920,041	49.2	41,247,203	1,624,538,689	16.0	
	                  Micronesia			*	27	24,583	-5.9	
	                  Miquelon			*			-100.0	
	                  Moldova	1,672,681	24,987,285	-14.3	5,737,577	51,236,673	12.9	
	                  Mongolia	48,354	910,605,096	-10.2	382,959	20,766,155	37.4	
	                  Montenegro	309,669	3,972,005	-15.5	3,144,136	42,691,740	45.2	
	                  Montserrat	78	8,168	-56.0	15	1,759	*	
	                  Morocco	34,011,111	365,371,979	18.9	14,260,770	414,381,015	19.3	
	                  Mozambique	13,963,240	42,555,042	-3.8	209,495	2,844,951	-20.8	
	                  Myanmar	3,720,771	153,597,188	1.9	102,896	13,985,863	-15.0	
	                  Namibia	2,709,650	5,789,626	51.7	64,437	3,738,128	36.1	
	                  Nauru			*	4	5,843	-81.5	
