Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","004","Afghanistan","5610","Import Quantity","01610","Coffee, green","2022","2022","t","31.77","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5910","Export Quantity","01610","Coffee, green","2022","2022","t","0.27","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01610","Coffee, green","2022","2022","t","2964.02","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5910","Export Quantity","01610","Coffee, green","2022","2022","t","5.2","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5610","Import Quantity","01610","Coffee, green","2022","2022","t","52979.47","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export Quantity","01610","Coffee, green","2022","2022","t","1.04","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","024","Angola","5610","Import Quantity","01610","Coffee, green","2022","2022","t","40.29","A","Official figure",""
"TCL","Crops and livestock products","028","Antigua and Barbuda","5610","Import Quantity","01610","Coffee, green","2022","2022","t","47.79","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5610","Import Quantity","01610","Coffee, green","2022","2022","t","32231.97","A","Official figure",""
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","01610","Coffee, green","2022","2022","t","15045.74","A","Official figure",""
"TCL","Crops and livestock products","051","Armenia","5910","Export Quantity","01610","Coffee, green","2022","2022","t","1438.71","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5610","Import Quantity","01610","Coffee, green","2022","2022","t","105340.38","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5910","Export Quantity","01610","Coffee, green","2022","2022","t","536.56","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01610","Coffee, green","2022","2022","t","14507.73","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","01610","Coffee, green","2022","2022","t","880.52","A","Official figure",""
"TCL","Crops and livestock products","031","Azerbaijan","5610","Import Quantity","01610","Coffee, green","2022","2022","t","124.97","A","Official figure",""
"TCL","Crops and livestock products","031","Azerbaijan","5910","Export Quantity","01610","Coffee, green","2022","2022","t","0.04","A","Official figure",""
"TCL","Crops and livestock products","044","Bahamas","5610","Import Quantity","01610","Coffee, green","2022","2022","t","201.91","A","Official figure",""
"TCL","Crops and livestock products","044","Bahamas","5910","Export Quantity","01610","Coffee, green","2022","2022","t","0","A","Official figure",""
"TCL","Crops and livestock products","048","Bahrain","5610","Import Quantity","01610","Coffee, green","2022","2022","t","347.88","A","Official figure",""
"TCL","Crops and livestock products","048","Bahrain","5910","Export Quantity","01610","Coffee, green","2022","2022","t","8.18","A","Official figure",""
"TCL","Crops and livestock products","050","Bangladesh","5610","Import Quantity","01610","Coffee, green","2022","2022","t","132.84","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","050","Bangladesh","5910","Export Quantity","01610","Coffee, green","2022","2022","t","0.07","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","052","Barbados","5610","Import Quantity","01610","Coffee, green","2022","2022","t","91.48","A","Official figure",""
"TCL","Crops and livestock products","052","Barbados","5910","Export Quantity","01610","Coffee, green","2022","2022","t","0.03","A","Official figure",""
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01610","Coffee, green","2022","2022","t","2805.5","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","112","Belarus","5910","Export Quantity","01610","Coffee, green","2022","2022","t","5.92","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01610","Coffee, green","2022","2022","t","385544.56","A","Official figure",""
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","01610","Coffee, green","2022","2022","t","267941.68","A","Official figure",""
"TCL","Crops and livestock products","084","Belize","5610","Import Quantity","01610","Coffee, green","2022","2022","t","26.8","I","Imputed value",""
"TCL","Crops and livestock products","084","Belize","5910","Export Quantity","01610","Coffee, green","2022","2022","t","0.04","A","Official figure",""
"TCL","Crops and livestock products","204","Benin","5610","Import Quantity","01610","Coffee, green","2022","2022","t","7.72","A","Official figure",""
"TCL","Crops and livestock products","064","Bhutan","5610","Import Quantity","01610","Coffee, green","2022","2022","t","9.85","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","064","Bhutan","5910","Export Quantity","01610","Coffee, green","2022","2022","t","21.6","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5610","Import Quantity","01610","Coffee, green","2022","2022","t","6.82","I","Imputed value",""
"TCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5910","Export Quantity","01610","Coffee, green","2022","2022","t","2480.81","A","Official figure",""
"TCL","Crops and livestock products","070","Bosnia and Herzegovina","5610","Import Quantity","01610","Coffee, green","2022","2022","t","17970.35","A","Official figure",""
"TCL","Crops and livestock products","070","Bosnia and Herzegovina","5910","Export Quantity","01610","Coffee, green","2022","2022","t","55.58","A","Official figure",""
"TCL","Crops and livestock products","072","Botswana","5610","Import Quantity","01610","Coffee, green","2022","2022","t","83.24","A","Official figure",""
"TCL","Crops and livestock products","072","Botswana","5910","Export Quantity","01610","Coffee, green","2022","2022","t","0.5","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","01610","Coffee, green","2022","2022","t","5192.12","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01610","Coffee, green","2022","2022","t","2132062.67","I","Imputed value",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","01610","Coffee, green","2022","2022","t","45","I","Imputed value",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5910","Export Quantity","01610","Coffee, green","2022","2022","t","0","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5610","Import Quantity","01610","Coffee, green","2022","2022","t","25379.03","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5910","Export Quantity","01610","Coffee, green","2022","2022","t","233.19","A","Official figure",""
"TCL","Crops and livestock products","854","Burkina Faso","5610","Import Quantity","01610","Coffee, green","2022","2022","t","709.33","A","Official figure",""
