"1008.50 - Quinoa ""Chenopodium quinoa""",,,,,,,,
,,,,,,,,
"Caption
* Percentage change/share/price not interpretable or not calculable
** Percentage change > 999.9 %
*** Provisional data
1 Since 2002: including electricity, returned goods and goods for processing without change of ownership
2 Since 2012 (imports): country of origin instead of country of production",,,,,,,,
,,,,,,,,
"Period 1,2",Commercial partner,Import,,,Export,,,
,,Quantity (kg),Value (CHF),Value +/- %,Quantity (kg),Value (CHF),Value +/- %,
2022,                  Argentina,6'000,11'497,*,,,*,
2022,                  Austria,21'900,82'531,41.4,,,-100,
2022,                  Belgium,25,98,-66.1,,,*,
2022,                  Bolivia,834'944,2'306'528,27.7,,,*,
2022,                  Bulgaria,,,-100,,,*,
2022,                  Chile,94,2'229,**,,,*,
2022,                  China,43,214,-63,,,*,
2022,                  Croatia,,,-100,,,*,
2022,                  Denmark,624,25'436,*,,,*,
2022,                  Ecuador,2'623,13'374,**,,,*,
2022,                  France,32'327,156'418,-30.3,85,769,-96.4,
2022,                  Germany,7'178,47'578,0.2,2'365,19'836,4.4,
2022,                  India,,,-100,,,*,
2022,                  Italy,1'572,6'725,-17.2,1,12,*,
2022,                  Kosovo,,,-100,,,*,
2022,                  Morocco,2,10,-93.1,,,*,
2022,                  Netherlands,2'119,5'407,-83.6,,,*,
2022,                  Pakistan,,,-100,,,*,
2022,                  Peru,260'329,705'995,-40.1,,,*,
2022,                  Poland,,,-100,,,*,
2022,                  Portugal,912,5'436,30.6,,,*,
2022,                  Slovenia,,,-100,,,*,
2022,                  Spain,172,895,*,,,*,
2022,                  United Kingdom,9,59,-6.3,,,-100,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Request date/time: 27.02.2024 19:15:27,,,,,,,,
© 1988 - 2024 Federal Office for Customs and Border Security FOCBS,,,,,,,,
