Substances,,occupation/transformation,,amount-notused,unit-notused,,amount,unit
Raw,(unspecified),"Occupation, agriculture",,2.48999165,m2a,,2.49E-15,m2a
Raw,(unspecified),"Occupation, agriculture, mosaic",,2.48999165,m2a,,2.48999E-15,m2a
Raw,(unspecified),"Occupation, annual crop",,2.48999165,m2a,,2.48999E-15,m2a
Raw,(unspecified),"Occupation, annual crop, AD",,9.76458148,m2a,,9.76E-15,m2a
Raw,(unspecified),"Occupation, annual crop, AE",,1.53604311,m2a,,1.54E-16,m2a
Raw,(unspecified),"Occupation, annual crop, AF",,5.05257837,m2a,,5.05E-16,m2a
Raw,(unspecified),"Occupation, annual crop, AG",,1.25354055,m2a,,1.25E-13,m2a
Raw,(unspecified),"Occupation, annual crop, AI",,7.72804312,m2a,,7.73E-14,m2a
Raw,(unspecified),"Occupation, annual crop, AL",,9.30054546,m2a,,9.30E-15,m2a
Raw,(unspecified),"Occupation, annual crop, AM",,3.20484001,m2a,,3.20E-15,m2a
Raw,(unspecified),"Occupation, annual crop, AO",,8.73312603,m2a,,8.73E-16,m2a
Raw,(unspecified),"Occupation, annual crop, AQ",,2.48999165,m2a,,2.48999E-15,m2a
Raw,(unspecified),"Occupation, annual crop, AR",,1.03572202,m2a,,1.04E-15,m2a
Raw,(unspecified),"Occupation, annual crop, AS",,2.60983743,m2a,,2.61E-13,m2a
Raw,(unspecified),"Occupation, annual crop, AT",,1.61570312,m2a,,1.62E-15,m2a
Raw,(unspecified),"Occupation, annual crop, AU",,1.68908732,m2a,,1.69E-15,m2a
Raw,(unspecified),"Occupation, annual crop, AW",,1.25065882,m2a,,1.25E-14,m2a
Raw,(unspecified),"Occupation, annual crop, AZ",,3.03148070,m2a,,3.03E-15,m2a
Raw,(unspecified),"Occupation, annual crop, BA",,1.67306863,m2a,,1.67E-15,m2a
Raw,(unspecified),"Occupation, annual crop, BB",,7.22808491,m2a,,7.23E-14,m2a
Raw,(unspecified),"Occupation, annual crop, BD",,1.39264214,m2a,,1.39E-15,m2a
Raw,(unspecified),"Occupation, annual crop, BE",,2.11009720,m2a,,2.11E-16,m2a
Raw,(unspecified),"Occupation, annual crop, BF",,3.82741473,m2a,,3.83E-16,m2a
Raw,(unspecified),"Occupation, annual crop, BG",,1.87092572,m2a,,1.87E-15,m2a
Raw,(unspecified),"Occupation, annual crop, BH",,1.05329679,m2a,,1.05E-16,m2a
Raw,(unspecified),"Occupation, annual crop, BI",,5.52342347,m2a,,5.52E-15,m2a
Raw,(unspecified),"Occupation, annual crop, BJ",,5.31373039,m2a,,5.31E-16,m2a
Raw,(unspecified),"Occupation, annual crop, BM",,2.48999165,m2a,,2.48999E-15,m2a
Raw,(unspecified),"Occupation, annual crop, BN",,6.62355257,m2a,,6.62E-15,m2a
Raw,(unspecified),"Occupation, annual crop, BO",,3.09612456,m2a,,3.10E-15,m2a
Raw,(unspecified),"Occupation, annual crop, BR",,3.09287788,m2a,,3.09E-15,m2a
Raw,(unspecified),"Occupation, annual crop, BS",,3.47240139,m2a,,3.47E-14,m2a
Raw,(unspecified),"Occupation, annual crop, BT",,7.89244019,m2a,,7.89E-15,m2a
Raw,(unspecified),"Occupation, annual crop, BV",,2.48999165,m2a,,2.48999E-15,m2a
Raw,(unspecified),"Occupation, annual crop, BW",,4.33209146,m2a,,4.33E-16,m2a
Raw,(unspecified),"Occupation, annual crop, BY",,1.35538446,m2a,,1.36E-16,m2a
Raw,(unspecified),"Occupation, annual crop, BZ",,1.48240608,m2a,,1.48E-14,m2a
Raw,(unspecified),"Occupation, annual crop, CA",,1.18237437,m2a,,1.18E-16,m2a
Raw,(unspecified),"Occupation, annual crop, CC",,7.76134197,m2a,,7.76134E-13,m2a
Raw,(unspecified),"Occupation, annual crop, CD",,1.67343252,m2a,,1.67E-15,m2a
Raw,(unspecified),"Occupation, annual crop, CF",,6.58840652,m2a,,6.59E-16,m2a
Raw,(unspecified),"Occupation, annual crop, CG",,1.81591202,m2a,,1.82E-15,m2a
Raw,(unspecified),"Occupation, annual crop, CH",,1.59169718,m2a,,1.59E-15,m2a
Raw,(unspecified),"Occupation, annual crop, CI",,2.92965758,m2a,,2.93E-15,m2a
Raw,(unspecified),"Occupation, annual crop, CK",,6.01548750,m2a,,6.01549E-13,m2a
Raw,(unspecified),"Occupation, annual crop, CL",,2.50916395,m2a,,2.51E-15,m2a
Raw,(unspecified),"Occupation, annual crop, CM",,5.33250333,m2a,,5.33E-15,m2a
Raw,(unspecified),"Occupation, annual crop, CN",,1.26604172,m2a,,1.27E-15,m2a
Raw,(unspecified),"Occupation, annual crop, CO",,1.68124431,m2a,,1.68E-14,m2a
Raw,(unspecified),"Occupation, annual crop, conservation tillage",,2.44503832,m2a,,2.45E-15,m2a
Raw,(unspecified),"Occupation, annual crop, conventional tillage",,2.44503832,m2a,,2.45E-15,m2a
Raw,(unspecified),"Occupation, annual crop, CR",,4.46661307,m2a,,4.47E-14,m2a
Raw,(unspecified),"Occupation, annual crop, CS",,5.59144145,m2a,,5.59E-16,m2a
Raw,(unspecified),"Occupation, annual crop, CU",,5.16401586,m2a,,5.16E-14,m2a
Raw,(unspecified),"Occupation, annual crop, CV",,1.37071636,m2a,,1.37E-13,m2a
Raw,(unspecified),"Occupation, annual crop, CX",,7.76134197,m2a,,7.76134E-13,m2a
Raw,(unspecified),"Occupation, annual crop, CY",,2.62596827,m2a,,2.63E-14,m2a
Raw,(unspecified),"Occupation, annual crop, CZ",,2.27923336,m2a,,2.28E-16,m2a
Raw,(unspecified),"Occupation, annual crop, DE",,2.28583253,m2a,,2.29E-16,m2a
Raw,(unspecified),"Occupation, annual crop, DJ",,7.13982979,m2a,,7.14E-16,m2a
Raw,(unspecified),"Occupation, annual crop, DK",,2.29973689,m2a,,2.30E-16,m2a
Raw,(unspecified),"Occupation, annual crop, DM",,3.38111826,m2a,,3.38E-13,m2a
