Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","024","Angola","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","3278","E","Estimated value",""
"QCL","Crops and livestock products","084","Belize","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","12566","E","Estimated value",""
"QCL","Crops and livestock products","204","Benin","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","1945","E","Estimated value",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","8954","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","16943","A","Official figure",""
"QCL","Crops and livestock products","108","Burundi","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","9101","E","Estimated value",""
"QCL","Crops and livestock products","132","Cabo Verde","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","2270","E","Estimated value",""
"QCL","Crops and livestock products","116","Cambodia","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","7711","E","Estimated value",""
"QCL","Crops and livestock products","120","Cameroon","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","4685","E","Estimated value",""
"QCL","Crops and livestock products","140","Central African Republic","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","4032","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","32726","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","33537","E","Estimated value",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","8285","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","7894","A","Official figure",""
"QCL","Crops and livestock products","174","Comoros","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","1422","E","Estimated value",""
"QCL","Crops and livestock products","178","Congo","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","3051","E","Estimated value",""
"QCL","Crops and livestock products","184","Cook Islands","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","5873","E","Estimated value",""
"QCL","Crops and livestock products","188","Costa Rica","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","8453","E","Estimated value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","1299","E","Estimated value",""
"QCL","Crops and livestock products","192","Cuba","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","3307","E","Estimated value",""
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","3933","E","Estimated value",""
"QCL","Crops and livestock products","212","Dominica","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","8839","E","Estimated value",""
"QCL","Crops and livestock products","214","Dominican Republic","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","3702","E","Estimated value",""
"QCL","Crops and livestock products","218","Ecuador","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","2664","A","Official figure",""
"QCL","Crops and livestock products","222","El Salvador","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","2456","E","Estimated value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","3673","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","6689","E","Estimated value",""
"QCL","Crops and livestock products","242","Fiji","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","6391","E","Estimated value",""
"QCL","Crops and livestock products","258","French Polynesia","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","2241","E","Estimated value",""
"QCL","Crops and livestock products","266","Gabon","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","3800","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","16000","E","Estimated value",""
"QCL","Crops and livestock products","320","Guatemala","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","6147","E","Estimated value",""
"QCL","Crops and livestock products","324","Guinea","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","3941","E","Estimated value",""
"QCL","Crops and livestock products","328","Guyana","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","7984","E","Estimated value",""
"QCL","Crops and livestock products","332","Haiti","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","5146","E","Estimated value",""
"QCL","Crops and livestock products","340","Honduras","5419","Yield","01610","Coffee, green","2022","2022","100 g/ha","12213","E","Estimated value",""
