Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","024","Angola","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","1572","E","Estimated value",""
"QCL","Crops and livestock products","084","Belize","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","2464","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","5597","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","4640","A","Official figure",""
"QCL","Crops and livestock products","120","Cameroon","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","4826","E","Estimated value",""
"QCL","Crops and livestock products","140","Central African Republic","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","517","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","3352","A","Official figure",""
"QCL","Crops and livestock products","174","Comoros","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","3363","E","Estimated value",""
"QCL","Crops and livestock products","178","Congo","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","2839","E","Estimated value",""
"QCL","Crops and livestock products","188","Costa Rica","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","1290","E","Estimated value",""
"QCL","Crops and livestock products","384","Côte d'Ivoire","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","5072","E","Estimated value",""
"QCL","Crops and livestock products","192","Cuba","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","5685","A","Official figure",""
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","5337","E","Estimated value",""
"QCL","Crops and livestock products","212","Dominica","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","926","E","Estimated value",""
"QCL","Crops and livestock products","214","Dominican Republic","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","257764","E","Estimated value",""
"QCL","Crops and livestock products","218","Ecuador","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","6621","A","Official figure",""
"QCL","Crops and livestock products","222","El Salvador","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","4105","E","Estimated value",""
"QCL","Crops and livestock products","226","Equatorial Guinea","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","1014","E","Estimated value",""
"QCL","Crops and livestock products","242","Fiji","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","20000","A","Official figure",""
"QCL","Crops and livestock products","266","Gabon","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","609","E","Estimated value",""
"QCL","Crops and livestock products","288","Ghana","5419","Yield","01640","Cocoa beans","2022","2022","100 g/ha","5523","E","Estimated value",""
