Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01371","Almonds, in shell","2022","2022","100 g/ha","17297","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2022","2022","100 g/ha","7040","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01341","Apples","2022","2022","100 g/ha","106000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01343","Apricots","2022","2022","100 g/ha","75279","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0115","Barley","2022","2022","100 g/ha","13750","X","Figure from international organizations",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01229","Cantaloupes and other melons","2022","2022","100 g/ha","106635","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01315","Figs","2022","2022","100 g/ha","41505","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01330","Grapes","2022","2022","100 g/ha","97849","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5410","Yield","0231","Hen eggs in shell, fresh","2022","2022","100 mg/An","20149","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5413","Yield","0231","Hen eggs in shell, fresh","2022","2022","No/An","40","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01441","Linseed","2022","2022","100 g/ha","9063","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0112","Maize (corn)","2022","2022","100 g/ha","22374","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5417","Yield/Carcass Weight","21117.01","Meat of camels, fresh or chilled","2022","2022","100 g/An","1800","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5417","Yield/Carcass Weight","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","100 g/An","1571","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5424","Yield/Carcass Weight","21121","Meat of chickens, fresh or chilled","2022","2022","0.1 g/An","8049","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5417","Yield/Carcass Weight","21116","Meat of goat, fresh or chilled","2022","2022","100 g/An","130","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5417","Yield/Carcass Weight","21115","Meat of sheep, fresh or chilled","2022","2022","100 g/An","152","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","0118","Millet","2022","2022","100 g/ha","13180","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01442","Mustard seed","2022","2022","100 g/ha","10330","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01450","Olives","2022","2022","100 g/ha","34831","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01253.02","Onions and shallots, dry (excluding dehydrated)","2022","2022","100 g/ha","174516","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01323","Oranges","2022","2022","100 g/ha","63765","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01355.90","Other berries and fruits of the genus vaccinium n.e.c.","2022","2022","100 g/ha","41158","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01329","Other citrus fruit, n.e.c.","2022","2022","100 g/ha","94324","E","Estimated value",""
