Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01216","Artichokes","2022","2022","t","0.23","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5910","Export Quantity","01216","Artichokes","2022","2022","t","14.93","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","024","Angola","5610","Import Quantity","01216","Artichokes","2022","2022","t","1.06","A","Official figure",""
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","01216","Artichokes","2022","2022","t","0.08","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5910","Export Quantity","01216","Artichokes","2022","2022","t","7.21","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01216","Artichokes","2022","2022","t","125.96","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","01216","Artichokes","2022","2022","t","4.79","A","Official figure",""
"TCL","Crops and livestock products","031","Azerbaijan","5610","Import Quantity","01216","Artichokes","2022","2022","t","0.33","A","Official figure",""
"TCL","Crops and livestock products","044","Bahamas","5610","Import Quantity","01216","Artichokes","2022","2022","t","27.99","A","Official figure",""
"TCL","Crops and livestock products","048","Bahrain","5610","Import Quantity","01216","Artichokes","2022","2022","t","6.09","A","Official figure",""
"TCL","Crops and livestock products","048","Bahrain","5910","Export Quantity","01216","Artichokes","2022","2022","t","0.01","A","Official figure",""
"TCL","Crops and livestock products","052","Barbados","5610","Import Quantity","01216","Artichokes","2022","2022","t","1.13","A","Official figure",""
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","01216","Artichokes","2022","2022","t","61.05","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01216","Artichokes","2022","2022","t","2411.44","A","Official figure",""
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","01216","Artichokes","2022","2022","t","247.19","A","Official figure",""
"TCL","Crops and livestock products","084","Belize","5610","Import Quantity","01216","Artichokes","2022","2022","t","0.06","A","Official figure",""
"TCL","Crops and livestock products","204","Benin","5610","Import Quantity","01216","Artichokes","2022","2022","t","0.76","A","Official figure",""
"TCL","Crops and livestock products","070","Bosnia and Herzegovina","5610","Import Quantity","01216","Artichokes","2022","2022","t","0.22","A","Official figure",""
"TCL","Crops and livestock products","072","Botswana","5610","Import Quantity","01216","Artichokes","2022","2022","t","0.94","A","Official figure",""
"TCL","Crops and livestock products","072","Botswana","5910","Export Quantity","01216","Artichokes","2022","2022","t","0.02","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","01216","Artichokes","2022","2022","t","0.3","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5610","Import Quantity","01216","Artichokes","2022","2022","t","26.86","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5910","Export Quantity","01216","Artichokes","2022","2022","t","2.08","A","Official figure",""
"TCL","Crops and livestock products","132","Cabo Verde","5610","Import Quantity","01216","Artichokes","2022","2022","t","0.06","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5610","Import Quantity","01216","Artichokes","2022","2022","t","1248.09","I","Imputed value",""
"TCL","Crops and livestock products","124","Canada","5910","Export Quantity","01216","Artichokes","2022","2022","t","2.14","A","Official figure",""
"TCL","Crops and livestock products","152","Chile","5910","Export Quantity","01216","Artichokes","2022","2022","t","0.04","A","Official figure",""
"TCL","Crops and livestock products","159","China","5610","Import Quantity","01216","Artichokes","2022","2022","t","6.84","A","Official figure",""
"TCL","Crops and livestock products","159","China","5910","Export Quantity","01216","Artichokes","2022","2022","t","0.49","A","Official figure",""
"TCL","Crops and livestock products","344","China, Hong Kong SAR","5610","Import Quantity","01216","Artichokes","2022","2022","t","4.73","A","Official figure",""
"TCL","Crops and livestock products","344","China, Hong Kong SAR","5910","Export Quantity","01216","Artichokes","2022","2022","t","0.49","A","Official figure",""
