Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","008","Albania","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0.1","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0.02","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","024","Angola","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0.1","A","Official figure",""
"TCL","Crops and livestock products","051","Armenia","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0.34","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","491.76","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5910","Export Quantity","01929.02","True hemp, raw or retted","2022","2022","t","10.66","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","155.58","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5910","Export Quantity","01929.02","True hemp, raw or retted","2022","2022","t","133.97","A","Official figure",""
"TCL","Crops and livestock products","031","Azerbaijan","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0","A","Official figure",""
"TCL","Crops and livestock products","044","Bahamas","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0","A","Official figure",""
"TCL","Crops and livestock products","050","Bangladesh","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","2.35","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","050","Bangladesh","5910","Export Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0.62","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","052","Barbados","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0.13","A","Official figure",""
"TCL","Crops and livestock products","056","Belgium","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","2296.47","A","Official figure",""
"TCL","Crops and livestock products","056","Belgium","5910","Export Quantity","01929.02","True hemp, raw or retted","2022","2022","t","1075.34","A","Official figure",""
"TCL","Crops and livestock products","070","Bosnia and Herzegovina","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","2.55","A","Official figure",""
"TCL","Crops and livestock products","070","Bosnia and Herzegovina","5910","Export Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0.01","A","Official figure",""
"TCL","Crops and livestock products","072","Botswana","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0.79","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","2.04","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5910","Export Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0.01","A","Official figure",""
"TCL","Crops and livestock products","854","Burkina Faso","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","16.35","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","67.35","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5910","Export Quantity","01929.02","True hemp, raw or retted","2022","2022","t","573.1","A","Official figure",""
"TCL","Crops and livestock products","152","Chile","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0","A","Official figure",""
"TCL","Crops and livestock products","159","China","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","2672.4","A","Official figure",""
"TCL","Crops and livestock products","159","China","5910","Export Quantity","01929.02","True hemp, raw or retted","2022","2022","t","275.11","A","Official figure",""
"TCL","Crops and livestock products","156","China, mainland","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","2672.19","A","Official figure",""
"TCL","Crops and livestock products","156","China, mainland","5910","Export Quantity","01929.02","True hemp, raw or retted","2022","2022","t","275.11","A","Official figure",""
"TCL","Crops and livestock products","158","China, Taiwan Province of","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0.21","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","9.88","A","Official figure",""
"TCL","Crops and livestock products","191","Croatia","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","3.05","A","Official figure",""
"TCL","Crops and livestock products","191","Croatia","5910","Export Quantity","01929.02","True hemp, raw or retted","2022","2022","t","14.61","A","Official figure",""
"TCL","Crops and livestock products","196","Cyprus","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0.73","A","Official figure",""
"TCL","Crops and livestock products","203","Czechia","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","4444.65","A","Official figure",""
"TCL","Crops and livestock products","203","Czechia","5910","Export Quantity","01929.02","True hemp, raw or retted","2022","2022","t","25.13","A","Official figure",""
"TCL","Crops and livestock products","180","Democratic Republic of the Congo","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","208","Denmark","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","3834.5","A","Official figure",""
"TCL","Crops and livestock products","208","Denmark","5910","Export Quantity","01929.02","True hemp, raw or retted","2022","2022","t","2.03","A","Official figure",""
"TCL","Crops and livestock products","818","Egypt","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0","A","Official figure",""
"TCL","Crops and livestock products","222","El Salvador","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0.82","A","Official figure",""
"TCL","Crops and livestock products","226","Equatorial Guinea","5910","Export Quantity","01929.02","True hemp, raw or retted","2022","2022","t","20.84","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","233","Estonia","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","1.28","A","Official figure",""
"TCL","Crops and livestock products","748","Eswatini","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","1.32","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","242","Fiji","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0.02","A","Official figure",""
"TCL","Crops and livestock products","246","Finland","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","428.21","A","Official figure",""
"TCL","Crops and livestock products","246","Finland","5910","Export Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","290.04","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export Quantity","01929.02","True hemp, raw or retted","2022","2022","t","212.98","A","Official figure",""
"TCL","Crops and livestock products","258","French Polynesia","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0.05","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","5459.25","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export Quantity","01929.02","True hemp, raw or retted","2022","2022","t","5731.62","A","Official figure",""
"TCL","Crops and livestock products","288","Ghana","5610","Import Quantity","01929.02","True hemp, raw or retted","2022","2022","t","0","X","Figure from international organizations","Estimated data using trading partners database"
