code,title,occupation,emoji
0111,"Wheat",,
0112,"Maize (corn)",,
0113,"Rice",,
0114,"Sorghum",,
0115,"Barley",,
0116,"Rye",,
0117,"Oats",,
0118,"Millet",,
01191,"Triticale",,
01192,"Buckwheat",,
01193,"Fonio",,
01194,"Quinoa",,
01195,"Canary seed",,
01199.02,"Mixed grain",,
01199.90,"Cereals n.e.c.",,
01211,"Asparagus",,
01212,"Cabbages",,
01213,"Cauliflowers and broccoli",,
01214,"Lettuce and chicory",,
01215,"Spinach",,
01216,"Artichokes",,
01221,"Watermelons",,
01229,"Cantaloupes and other melons",,
01231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",,
01232,"Cucumbers and gherkins",,
01233,"Eggplants (aubergines)",,
01234,"Tomatoes",,
01235,"Pumpkins, squash and gourds",,
01239.01,"Okra",,
01241.01,"String beans",,
01241.90,"Other beans, green",,
01242,"Peas, green",,
01243,"Broad beans and horse beans, green",,
01251,"Carrots and turnips",,
01252,"Green garlic",,
01253.01,"Onions and shallots, green",,
01253.02,"Onions and shallots, dry (excluding dehydrated)",,
01254,"Leeks and other alliaceous vegetables",,
01290.01,"Green corn (maize)",,
01290.90,"Other vegetables, fresh n.e.c.",,
01311,"Avocados",,
01312,"Bananas",,
01313,"Plantains and cooking bananas",,
01314,"Dates",,
01315,"Figs",,
01316,"Mangoes, guavas and mangosteens",,
01317,"Papayas",,
01318,"Pineapples",,
01319,"Other tropical fruits, n.e.c.",,
01321,"Pomelos and grapefruits",,
01322,"Lemons and limes",,
01323,"Oranges",,
01324,"Tangerines, mandarins, clementines",,
01329,"Other citrus fruit, n.e.c.",,
01330,"Grapes",,
01341,"Apples",,
01342.01,"Pears",,
01342.02,"Quinces",,
01343,"Apricots",,
01344.01,"Sour cherries",,
01344.02,"Cherries",,
01345,"Peaches and nectarines",,
01346,"Plums and sloes",,
01349.10,"Other pome fruits",,
01349.20,"Other stone fruits",,
01351.01,"Currants",,
01351.02,"Gooseberries",,
01352,"Kiwi fruit",,
01353.01,"Raspberries",,
01354,"Strawberries",,
01355.01,"Blueberries",,
01355.02,"Cranberries",,
01355.90,"Other berries and fruits of the genus vaccinium n.e.c.",,
01356,"Locust beans (carobs)",,
01359.01,"Persimmons",,
01359.02,"Cashewapple",,
01359.90,"Other fruits, n.e.c.",,
01371,"Almonds, in shell",,
01372,"Cashew nuts, in shell",,
01373,"Chestnuts, in shell",,
01374,"Hazelnuts, in shell",,
01375,"Pistachios, in shell",,
01376,"Walnuts, in shell",,
01379.01,"Areca nuts",,
01379.02,"Kola nuts",,
01379.90,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",,
0141,"Soya beans",,
0142,"Groundnuts, excluding shelled",,
01441,"Linseed",,
01442,"Mustard seed",,
01443,"Rape or colza seed",,
01444,"Sesame seed",,
01445,"Sunflower seed",,
01446,"Safflower seed",,
01447,"Castor oil seeds",,
01448,"Poppy seed",,
01449.01,"Melonseed",,
01449.02,"Hempseed",,
01449.90,"Other oil seeds, n.e.c.",,
01450,"Olives",,
01460,"Coconuts, in shell",,
01491.01,"Oil palm fruit",,
01499.01,"Karite nuts (sheanuts)",,
01499.02,"Tung nuts",,
01499.03,"Jojoba seeds",,
01499.04,"Tallowtree seeds",,
01499.05,"Kapok fruit",,
01510,"Potatoes",,
01520.01,"Cassava, fresh",,
01530,"Sweet potatoes",,
01540,"Yams",,
01550,"Taro",,
01591,"Yautia",,
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",,
01610,"Coffee, green",,
01620,"Tea leaves",,
01630,"Maté leaves",,
01640,"Cocoa beans",,
01651,"Pepper (Piper spp.), raw",,
01652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",,
01653,"Nutmeg, mace, cardamoms, raw",,
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",,
01655,"Cinnamon and cinnamon-tree flowers, raw",,
01656,"Cloves (whole stems), raw",,
01657,"Ginger, raw",,
01658,"Vanilla, raw",,
01659,"Hop cones",,
01691,"Chicory roots",,
01699,"Other stimulant, spice and aromatic crops, n.e.c.",,
01701,"Beans, dry",,
01702,"Broad beans and horse beans, dry",,
01703,"Chick peas, dry",,
01704,"Lentils, dry",,
01705,"Peas, dry",,
01706,"Cow peas, dry",,
01707,"Pigeon peas, dry",,
01708,"Bambara beans, dry",,
01709.01,"Vetches",,
01709.02,"Lupins",,
01709.90,"Other pulses n.e.c.",,
01801,"Sugar beet",,
01802,"Sugar cane",,
01809,"Other sugar crops n.e.c.",,
01921.01,"Seed cotton, unginned",,
01922.01,"Jute, raw or retted",,
01922.02,"Kenaf, and other textile bast fibres, raw or retted",,
01929.01,"Flax, raw or retted",,
01929.02,"True hemp, raw or retted",,
01929.04,"Ramie, raw or retted",,
01929.05,"Sisal, raw",,
01929.06,"Agave fibres, raw, n.e.c.",,
01929.07,"Abaca, manila hemp, raw",,
01929.90,"Other fibre crops, raw, n.e.c.",,
01930.01,"Peppermint, spearmint",,
01930.02,"Pyrethrum, dried flowers",,
01950.01,"Natural rubber in primary forms",,
01970,"Unmanufactured tobacco",,
0231,"Hen eggs in shell, fresh",,
0232,"Eggs from other birds in shell, fresh, n.e.c.",,
