Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","70491","E","Estimated value",""
"QCL","Crops and livestock products","012","Algeria","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","140795","E","Estimated value",""
"QCL","Crops and livestock products","120","Cameroon","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","48551","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","86854","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","86854","E","Estimated value",""
"QCL","Crops and livestock products","196","Cyprus","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","62000","A","Official figure",""
"QCL","Crops and livestock products","818","Egypt","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","76439","E","Estimated value",""
"QCL","Crops and livestock products","268","Georgia","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","34989","E","Estimated value",""
"QCL","Crops and livestock products","300","Greece","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","98462","A","Official figure",""
"QCL","Crops and livestock products","348","Hungary","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","16885","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","39127","E","Estimated value",""
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","84538","E","Estimated value",""
"QCL","Crops and livestock products","380","Italy","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","137111","A","Official figure",""
"QCL","Crops and livestock products","392","Japan","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","27956","A","Official figure",""
"QCL","Crops and livestock products","418","Lao People's Democratic Republic","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","68386","E","Estimated value",""
"QCL","Crops and livestock products","440","Lithuania","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","5000","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","91177","E","Estimated value",""
"QCL","Crops and livestock products","554","New Zealand","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","189577","E","Estimated value",""
"QCL","Crops and livestock products","616","Poland","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","50000","A","Official figure",""
"QCL","Crops and livestock products","620","Portugal","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","34000","A","Official figure",""
"QCL","Crops and livestock products","724","Spain","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","13600","A","Official figure",""
"QCL","Crops and livestock products","760","Syrian Arab Republic","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","63617","A","Official figure",""
"QCL","Crops and livestock products","788","Tunisia","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","93307","E","Estimated value",""
"QCL","Crops and livestock products","792","Türkiye","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","417212","A","Official figure",""
"QCL","Crops and livestock products","804","Ukraine","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","92857","A","Official figure",""
"QCL","Crops and livestock products","860","Uzbekistan","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","108716","E","Estimated value",""
"QCL","Crops and livestock products","887","Yemen","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","43198","E","Estimated value",""
"QCL","Crops and livestock products","716","Zimbabwe","5419","Yield","01349.20","Other stone fruits","2022","2022","100 g/ha","56517","E","Estimated value",""
