Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","012","Algeria","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","9573","E","Estimated value",""
"QCL","Crops and livestock products","032","Argentina","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","17876","A","Official figure",""
"QCL","Crops and livestock products","051","Armenia","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","14407","A","Official figure",""
"QCL","Crops and livestock products","036","Australia","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","17377","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","12765","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","13204","A","Official figure",""
"QCL","Crops and livestock products","064","Bhutan","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","4904","E","Estimated value",""
"QCL","Crops and livestock products","124","Canada","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","13414","A","Official figure",""
"QCL","Crops and livestock products","152","Chile","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","7542","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","25697","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","25697","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","3058","E","Estimated value",""
"QCL","Crops and livestock products","218","Ecuador","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","7589","E","Estimated value",""
"QCL","Crops and livestock products","818","Egypt","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","24000","E","Estimated value",""
"QCL","Crops and livestock products","232","Eritrea","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","2707","E","Estimated value",""
"QCL","Crops and livestock products","231","Ethiopia","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","14559","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","8987","A","Official figure",""
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","5798","E","Estimated value",""
"QCL","Crops and livestock products","368","Iraq","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","15000","A","Official figure",""
"QCL","Crops and livestock products","376","Israel","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","2218","E","Estimated value",""
"QCL","Crops and livestock products","400","Jordan","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","45641","E","Estimated value",""
"QCL","Crops and livestock products","398","Kazakhstan","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","10185","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","7964","E","Estimated value",""
"QCL","Crops and livestock products","422","Lebanon","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","13340","E","Estimated value",""
"QCL","Crops and livestock products","450","Madagascar","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","6849","E","Estimated value",""
"QCL","Crops and livestock products","454","Malawi","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","6174","E","Estimated value",""
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","13674","A","Official figure",""
"QCL","Crops and livestock products","504","Morocco","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","2625","A","Official figure",""
"QCL","Crops and livestock products","104","Myanmar","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","6870","E","Estimated value",""
"QCL","Crops and livestock products","524","Nepal","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","12712","A","Official figure",""
"QCL","Crops and livestock products","554","New Zealand","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","24561","E","Estimated value",""
"QCL","Crops and livestock products","807","North Macedonia","5419","Yield","01704","Lentils, dry","2022","2022","100 g/ha","13833","A","Official figure",""
